,0
509,29.88658
510,29.62076
511,29.013098
512,28.42906
513,27.340858
514,28.782118
515,30.631016
516,30.707397
517,30.528095
518,28.893091
519,27.310656
520,28.786255
521,29.377106
522,29.04979
523,29.44555
524,30.25146
525,30.243963
526,30.171675
527,30.627064
528,30.753098
529,30.281437
530,30.427406
531,30.748312
532,29.668581
533,29.998468
534,30.016562
535,30.360415
536,30.156914
537,30.35929
538,30.475933
539,30.320963
540,30.296843
541,30.408752
542,30.794346
543,30.494446
544,30.51405
545,30.835423
546,29.078579
547,28.250248
548,27.876854
549,26.692415
550,26.763145
551,27.889544
552,25.421656
553,25.275524
554,24.133383
555,25.366667
556,24.583303
557,24.223309
558,24.906424
559,25.525667
560,25.595936
561,25.232922
562,25.43431
563,25.27568
564,25.156992
565,24.964071
566,25.126257
567,24.84425
568,24.167105
569,23.750587
570,23.051775
571,23.197527
572,23.501717
573,23.635204
574,22.97818
575,23.094526
576,23.819275
577,23.753378
578,23.928114
579,21.98265
580,20.32849
581,20.360685
582,19.446484
583,19.05181
584,19.039074
585,18.669455
586,18.180754
587,17.942085
588,17.750017
589,19.555874
590,18.431929
591,19.317345
592,17.71131
593,17.250334
594,16.925562
595,18.812645
596,18.158247
597,18.8473
598,19.651606
599,19.478573
600,19.687555
601,20.743855
602,23.50813
603,21.218359
604,18.705418
605,18.859657
606,18.159906
607,17.710196
608,16.42592
609,20.099804
610,19.542135
611,17.97306
612,16.866274
613,17.208311
614,17.041735
615,17.635181
616,14.652746
617,13.253751
618,12.804636
619,12.213167
620,10.905156
621,10.251165
622,10.05921
623,10.037867
624,9.658221
625,10.233474
626,10.310269
627,9.611773
628,10.422428
629,11.101972
630,11.768354
631,13.4110365
632,14.150887
633,14.609516
634,14.278193
635,14.206472
636,13.084271
637,11.411513
638,10.998722
639,11.118629
640,11.340237
641,11.299578
642,11.057734
643,11.839608
644,12.033061
645,12.300706
646,12.792325
647,13.289331
648,13.206429
649,13.650918
650,13.631299
651,13.570339
652,13.220281
653,14.276114
654,13.320288
655,13.496679
656,13.894223
657,13.708939
658,12.761729
659,12.33174
660,12.870462
661,13.59954
662,14.549495
663,16.326256
664,16.509043
665,15.329139
666,15.162968
667,15.482594
668,16.008028
669,16.605019
670,16.935656
671,16.349842
672,16.41779
673,16.158466
674,17.181211
675,18.819607
676,18.859354
677,20.126162
678,20.847109
679,21.134712
680,22.362387
681,22.64667
682,22.16683
683,22.43667
684,22.099812
685,23.068697
686,23.394678
687,21.230083
688,20.536722
689,21.830116
690,19.243835
691,18.853996
692,17.922976
693,17.892282
694,19.064362
695,20.035742
696,19.075603
697,19.706745
698,18.953396
699,18.555155
700,18.815351
701,20.333954
702,21.182804
703,21.425772
704,18.903475
705,20.121698
706,21.058165
707,20.685785
708,21.266346
709,22.375431
710,24.249071
711,24.698088
712,24.589052
713,25.501741
714,26.34446
715,27.88725
716,27.20987
717,27.052397
718,25.716213
719,24.623507
720,25.868773
721,26.762728
722,28.458637
723,25.370773
724,22.799917
725,24.563019
726,25.624104
727,24.590734
728,25.89623
729,26.301664
730,27.14727
731,28.096476
732,25.267677
733,25.548859
734,26.747631
735,27.739182
736,25.957071
737,28.114481
738,29.788279
739,31.315323
740,31.989592
741,31.252254
742,30.686956
743,30.86182
744,31.21052
745,30.732069
746,29.41982
747,30.55391
748,31.226162
749,31.347445
750,32.45303
751,31.400692
752,30.606234
753,31.403778
754,31.279543
755,32.213657
756,33.7752
757,34.740456
758,33.697823
759,34.67158
760,34.743916
761,33.862984
762,33.30571
763,29.176851
764,30.784214
765,29.843063
766,30.759281
767,33.210697
768,34.71634
769,31.556454
770,33.135616
771,35.19874
772,35.47495
773,36.36196
774,35.32658
775,36.9031
776,34.90135
777,33.88648
778,34.88482
779,35.091656
780,32.722904
781,34.48434
782,30.574602
783,32.41335
784,30.035925
785,32.42811
786,32.934727
787,33.34407
788,34.63871
789,35.796986
790,36.634087
791,35.840904
792,35.21008
793,35.577908
794,31.804344
795,28.80863
796,32.00983
797,32.824947
798,33.676777
799,34.61999
800,35.18929
801,33.022007
802,31.080917
803,32.638832
804,32.00009
805,36.38268
806,27.708158
807,31.58703
808,32.908424
809,33.767567
810,31.250364
811,31.249744
812,32.21778
813,33.45666
814,32.74195
815,33.686058
816,34.97805
817,28.694338
818,29.25655
819,31.749504
820,30.142017
